'Tensao_kV';'Potencia_MVA';'TipoComutadorDeriv';'AnosDeOperacao';'RigidezDieletrica';'AguaNoOleo';'TensaoInterfacial';'IndiceNeutralizacao';'Cor';'Densidade';'FPD_25oC';'FPD_100oC';'MonitEspecial'
500;150;Em Carga (CDC);8.74;95.6;10;40.9;0;0;0.87537;0.004;0.185;0
500;630;Em Carga (CDC);10.41;93.8;10;41.3;NULL;0;0.87615;0.003;0.1;0
230;65;Em Carga (CDC);10.09;89.9;8;37;NULL;0.5;0.87941;0.011;0.358;0
34.5;0.15;Sem Comutador;25.11;56.9;20;23.3;NULL;2;0.86427;1.191;23.886;0
230;60;Em Carga (CDC);38.74;100.1;11;31;NULL;1.5;0.88401;0.02;0.806;0
13.8;0;Sem Tensão (CDST);20.85;49.5;26;35.5;0.01;2.5;0.87507;0.036;1.287;0
230;60;Em Carga (CDC);36.87;93.3;10;31.7;NULL;1.5;0.88043;0.043;1.854;0
69;10;Em Carga (CDC);32.70;100.1;8;31.2;NULL;2.5;0.88241;0.057;2.631;0
242;100;Em Carga (CDC);20.44;96.6;11;39.3;0;1;0.88841;0.01;0.772;0
230;55;Em Carga (CDC);22.73;89.9;11;43.4;0;0.5;0.88147;0.003;0.599;0
550;0;Em Carga (CDC);11.48;94.4;9;41.9;NULL;0;0.8781;0.003;0.103;0
13.8;0;Sem Tensão (CDST);42.12;59;40;30.5;NULL;1.5;0.88224;0.017;1.028;0
230;30;Em Carga (CDC);13.98;84.4;16;42.1;0;1;0.87663;0.004;0.184;0
69;NULL;Em Carga (CDC);23.86;62.2;18;28.1;0.04;1.5;0.86655;0.021;0.726;0
550;100;Em Carga (CDC);42.71;95.2;15;26.3;NULL;4;0.88324;0.337;15.303;0
230;60;Em Carga (CDC);14.07;75.7;9;40.3;0.02;NULL;0.87744;0.022;0.3442;0
230;100;Em Carga (CDC);10.14;60.9;21;43.8;0;0.5;0.87302;0.012;0.255;0
230;67;Sem Comutador;43.87;98.9;8;32.1;NULL;2.5;0.88009;0.036;1.404;0
230;230;Em Carga (CDC);7.70;97.3;9;41.4;0;0.5;0.87649;0.009;0.278;0
230;55;Em Carga (CDC);15.65;91.2;8;36.7;0.01;1;0.87736;0.016;0.736;0
230;60;Em Carga (CDC);34.74;90.3;11;37.4;0.01;2;0.86643;0.02;0.368;0
230;60;Sem Comutador;14.63;92.4;8;45.1;0;2;0.88749;0.003;0.213;0
230;100;Em Carga (CDC);15.67;70.7;12;40.9;0;0.5;0.88121;0.004;0.517;0
69;75;NULL;25.26;65.9;12;36.9;0.01;1;0.86422;0.014;0.435;0
72.5;8.916;Sem Comutador;23.86;89.9;92;22.5;0.16;1;0.91474;1.954;19.421;0
550;550;Em Carga (CDC);10.08;89;10;43.3;NULL;0.5;0.87304;0.0046;0.1409;0
550;150;Em Carga (CDC);11.74;100.1;5;41.6;NULL;0.5;0.87259;0.006;0.188;0
550;200;Em Carga (CDC);9.45;97.6;13;44.8;0;0;0.87534;0.003;0.103;0
230;300;Em Carga (CDC);13.13;79.8;8;41.4;0;1;0.87563;0.008;0.633;0
230;50;Sem Comutador;9.95;94.1;13;35.6;0;1;0.87959;0.007;0.345;0
550;150;Em Carga (CDC);16.88;99.5;11;38.5;NULL;1;0.87516;0.0046;0.1672;0
500;100;Em Carga (CDC);11.93;96.7;5;37.8;NULL;0.5;0.87786;0.0054;0.1968;0
140;25;Em Carga (CDC);7.58;65.9;14;42.2;0;1;0.87625;0.014;0.576;0
550;200;Em Carga (CDC);30.94;94.8;15;35.1;0.01;1.5;0.8703;0.044;0.831;0
230;100;Em Carga (CDC);15.68;89.5;14;44.5;0;0.5;0.88491;0.006;0.163;0
230;50;Em Carga (CDC);11.18;95.1;9;42;0;1;0.8729;0.005;0.169;0
13.8;1104;Em Carga (CDC);23.86;92.1;188;21;0.3;1.5;0.9173;4.76;78.1;0
230;100;Em Carga (CDC);27.19;91.5;14;40.9;0;1;0.87009;0.004;0.443;0
230;30;Em Carga (CDC);27.84;NULL;20;NULL;NULL;NULL;NULL;NULL;NULL;0
13.8;405;Em Carga (CDC);20.01;69.6;17;44;0;1;0.87675;0.003;0.09;0
230;60;Em Carga (CDC);40.71;82.5;14;29.8;NULL;3.5;0.86977;0.057;1.482;0
500;292;Em Carga (CDC);9.98;99.8;9;42;0;0.5;0.87628;0.001;0.101;0
230;50;Sem Comutador;16.18;95.3;11;38.6;0;1;0.87458;0.015;0.283;0
13.8;0;Sem Tensão (CDST);46.24;62;16;29.9;NULL;3;0.87966;0.094;3.226;0
230;50;Em Carga (CDC);42.79;99.1;14;33;0.02;3;0.87709;0.071;2.176;0
242;100;Em Carga (CDC);21.21;95;16;39.2;0;1;0.88797;0.005;0.224;0
230;10;Em Carga (CDC);11.10;84.2;13;43.2;NULL;0.5;0.88018;0.0105;0.3173;0
138;15;Sem Tensão (CDST);15.96;78.2;14;39.9;NULL;1.5;0.88594;0.006;1.393;0
500;150;Em Carga (CDC);23.86;100.2;8;40.5;NULL;0.5;0.88634;0.001;0.073;0
13.8;0.75;Sem Tensão (CDST);39.03;38;39;31.5;0.02;1;0.88475;0.033;1.836;1
500;NULL;Em Carga (CDC);10.93;94.5;7;37.9;NULL;0;0.88627;0.005;0.155;0
550;150;Em Carga (CDC);11.74;100.2;6;43.4;NULL;0.5;0.87223;0.004;0.114;0
550;200;Em Carga (CDC);30.94;100.1;16;36.2;0.01;1.5;0.8705;0.066;0.902;0
13.8;405;Em Carga (CDC);17.49;74.5;13;39.8;0;0;0.88669;0.003;0.079;0
230;100;Em Carga (CDC);42.08;99.5;12;30.5;0.03;4;0.88282;0.354;13.171;0
13.8;387;Sem Comutador;38.64;NULL;15;NULL;NULL;NULL;NULL;NULL;NULL;0
550;150;Em Carga (CDC);16.88;100.3;11;40.1;NULL;1;0.87519;0.0055;0.1804;0
230;200;Em Carga (CDC);7.93;93.9;11;39.2;NULL;0.5;0.87777;0.0027;0.1775;0
242;100;Em Carga (CDC);20.44;100;9;41.8;0;0.5;0.88116;0.004;0.259;0
230;100;Em Carga (CDC);14.90;93.6;6;40.8;NULL;0.5;0.88597;0.011;0.1747;0
230;33.3;Em Carga (CDC);40.37;92.8;15;37.7;0;1;0.87475;0.013;0.538;0
18.8;2.5;Sem Tensão (CDST);42.12;78.2;26;31.7;NULL;1.5;0.87959;0.016;0.827;0
500;150;Em Carga (CDC);8.74;98.9;9;40.5;0;0;0.87347;0.003;0.124;0
230;150;Em Carga (CDC);10.54;97.2;13;40.4;0;1;0.87315;0.007;0.162;0
230;33;Em Carga (CDC);13.16;78.3;15;41.9;0;1;0.87768;0.002;0.21;0
550;200;Em Carga (CDC);37.78;99.8;9;33.3;NULL;1.5;0.88257;0.025;1.035;0
13.8;0;Sem Tensão (CDST);41.95;42;29;34.8;0.02;1.5;0.88084;0.011;0.705;0
550;200;Em Carga (CDC);9.45;87.8;13;45.1;0;0;0.87552;0.004;0.124;0
230;230;Em Carga (CDC);8.48;90.1;11;40;0;0;0.87846;0.04;0.466;0
550;150;Em Carga (CDC);16.88;100.1;11;40;NULL;1;0.87515;0.0051;0.13;0
230;60;Em Carga (CDC);38.74;99.2;9;33;NULL;1.5;0.88182;0.041;1.836;0
13.8;405;Em Carga (CDC);20.04;6.7;13319;37.3;0.03;1;0.87944;35.65;0.739;0
69;20;Em Carga (CDC);11.81;91.9;140;21.4;0.11;1;0.91587;4.429;42.063;1
