'Tensao_kV';'Potencia_MVA';'TipoComutadorDeriv';'AnosDeOperacao';'RigidezDieletrica';'AguaNoOleo';'TensaoInterfacial';'IndiceNeutralizacao';'Cor';'Densidade';'FPD_25oC';'FPD_100oC';'MonitEspecial'
500;65.85;NULL;15.85;98.6;12;26;NULL;1;0.8758;0.1024;2.271;0
550;72.6;NULL;23.86;93.1;14;34.7;NULL;1.5;0.87554;0.0059;0.6815;0
500;NULL;NULL;35.95;79.8;17;32.9;NULL;2;0.87269;0.054;2.194;0
500;150;NULL;25.50;100.2;17;32.6;NULL;3;0.88182;0.054;2.446;0
500;NULL;NULL;36.43;95;12;30.6;0.01;4.5;0.85353;0.04;1.017;0
500;50;NULL;42.12;98.2;15;31.1;0.03;2.5;0.8828;0.133;3.555;0
242;21.6;NULL;9.42;83;12;38.5;NULL;1;0.87418;0.009;0.733;0
230;22.14;NULL;25.28;94.5;14;35.6;NULL;1.5;0.8713;0.015;0.657;0
500;NULL;NULL;25.11;67;12;32;NULL;1;0.86636;0.025;0.822;0
500;165;NULL;25.50;95.1;10;34.1;NULL;2;0.85808;0.0123;0.2701;0
317.54;55;NULL;24.70;86.8;10;30;NULL;1.5;0.86634;0.0315;1.0011;0
500;55;NULL;24.85;96.2;17;30.1;NULL;3.5;0.86583;0.087;2.944;0
550;72.6;NULL;23.86;95.5;14;39;NULL;1;0.87565;0.006;0.2834;0
145;50;NULL;25.50;88.9;10;34.3;0.02;2;0.86948;0.024;1.079;0
500;50;NULL;43.71;98.6;15;33.7;0.03;3;0.88175;0.041;1.808;0
500;65.85;NULL;13.43;90;13;35.2;NULL;1;0.87569;0.0118;0.388;0
145;55;NULL;20.11;80;17;40.1;0;1;0.8756;0.038;1.396;0
500;50;NULL;43.12;100.2;10;31.5;NULL;3;0.88146;0.0449;1.1566;0
317.54;55;NULL;24.70;77.3;11;34.6;NULL;0.5;0.86648;0.0188;0.3235;0
500;NULL;NULL;43.71;94.2;16;34.8;0.03;2.5;0.88304;0.033;1.345;0
500;165;NULL;24.76;96.5;18;23.2;NULL;3;0.86771;0.107;3.779;1
500;50;NULL;42.12;97.1;15;31.5;0.02;5;0.85292;0.05;1.242;0
500;55;NULL;17.44;100.1;9;40.2;0;1;0.87836;0.006;0.265;0
230;30;NULL;25.44;79.1;25;31.8;NULL;2;0.87731;0.023;1.299;1
500;50;NULL;42.10;100.1;12;30.7;NULL;5;0.85354;0.0339;0.7957;0
500;NULL;NULL;35.95;72.7;18;28.3;NULL;2.5;0.88338;0.043;1.298;1
242;NULL;NULL;36.87;96.3;18;37.2;0.01;2.5;0.88202;0.043;1.897;0
500;65.85;NULL;24.76;92.2;13;33.9;NULL;0.5;0.87281;0.0367;1.045;0
500;NULL;NULL;23.86;79.7;12;37;NULL;1;0.87866;0.0112;0.3863;0
145;55;NULL;20.11;94.6;17;32;0.01;1.5;0.87537;0.038;2.015;0
500;65.85;NULL;16.80;100.3;8;34.1;NULL;2;0.8754;0.008;0.2115;0
500;NULL;NULL;25.11;97.5;19;33.2;0.02;2;0.87351;0.06;1.101;0
145;2214;NULL;21.53;87.2;10;42;0;1;0.88008;0.005;0.426;0
500;165;NULL;24.76;96.7;16;24.8;NULL;3;0.86763;0.071;2.421;0
500;65.85;NULL;15.36;86.8;11;39.1;NULL;1;0.8756;0.0079;0.4116;0
230;NULL;NULL;23.86;86.4;10;33.4;NULL;1;0.87932;0.01;1.213;0
500;NULL;NULL;42.12;100.1;14;31.8;NULL;3;0.88373;0.0303;1.1401;0
500;65.85;NULL;13.43;100.1;8;38.6;NULL;1;0.87568;0.0074;0.3637;0
550;72.6;NULL;23.86;28.9;38;38.6;NULL;0.5;0.87521;0.0073;0.1652;0
500;NULL;NULL;6.35;96.1;11;37.4;NULL;1;0.87667;0.0053;0.269;0
69;NULL;NULL;4.32;92.6;14;39.6;NULL;1;0.88188;0.0089;0.4866;0
500;NULL;NULL;2.24;100.2;5;37.3;NULL;0;0.8677;0.002;0.361;0
500;40.33;NULL;20.73;87;14;36.3;NULL;1;0.87554;0.0057;0.284;0
500;150;NULL;25.50;97.8;14;39.2;0;1.5;0.88119;0.049;2.173;0
500;65.85;NULL;15.56;100.2;10;36.6;NULL;1.5;0.87446;0.0097;0.418;0
145;30;NULL;40.37;44.9;25;33.8;0.02;3;0.87812;0.066;2.321;1
500;55;NULL;24.70;93.7;13;35.1;NULL;1.5;0.86492;0.007;0.324;0
242;33.21;NULL;11.85;93.5;10;37.8;NULL;1;0.8714;0.0322;0.4486;0
500;55;NULL;24.70;96.9;13;28.7;NULL;2.5;0.86486;0.037;1.323;0
500;NULL;NULL;42.12;96.7;14;31.9;NULL;3;0.883;0.0288;1.1512;0
145;NULL;NULL;21.08;85.8;15;34.1;NULL;1;0.88295;0.017;1.008;0
500;150;NULL;25.50;94.8;19;28.7;NULL;2.5;0.88307;0.03;1.146;0
15;20;NULL;16.21;97.4;12;33.7;NULL;3.5;0.88062;0.0262;0.849;0
500;NULL;NULL;39.70;100.2;15;32.4;0.01;2;0.87014;0.013;0.465;0
242;NULL;NULL;29.28;76.1;15;41.9;NULL;0;0.87732;0.005;0.391;0
242;NULL;NULL;22.99;77.9;12;39.7;0;1;0.88077;0.008;0.409;0
500;50;NULL;42.12;98;17;25.8;NULL;4;0.88325;0.209;6.545;1
500;NULL;NULL;35.95;81.6;19;34.5;NULL;1.5;0.87409;0.015;0.414;0
230;22.14;NULL;15.44;86.7;10;37.5;NULL;0.5;0.87546;0.005;0.298;0
500;50;NULL;43.12;94.7;20;32.3;0.02;2.5;0.88183;0.053;1.937;0
500;55;NULL;24.70;97.2;14;31.9;NULL;2.5;0.86577;0.031;0.784;0
317.54;55;NULL;24.70;91.4;7;38.3;NULL;1;0.86623;0.022;0.3832;0
500;NULL;NULL;35.95;94.3;13;32.6;NULL;1.5;0.87431;0.015;0.732;0
242;33.21;NULL;20.44;97;11;32;NULL;2.5;0.88712;0.072;2.122;0
230;30;NULL;25.28;90.6;11;31.9;0.02;0.5;0.86587;0.027;1.027;0
242;NULL;NULL;19.28;88;14;38.3;0;1;0.87605;0.01;0.584;0
317.54;55;NULL;24.70;61.8;14;33;NULL;1;0.86616;0.0099;0.3097;0
15;20;NULL;16.21;97.4;12;33.9;NULL;2.5;0.88122;0.0299;0.8645;0
500;150;NULL;25.50;91;16;39;0;1;0.87694;0.017;0.781;0
25.8;25;NULL;22.32;94.1;11;34.9;0.01;1;0.86544;0.011;0.408;0
500;NULL;NULL;37.70;98.7;9;35.3;0.01;1.5;0.88062;0.01;0.519;0
500;50;NULL;42.12;97.6;12;27.1;NULL;5.5;0.85277;0.0459;1.2472;0
145;33.21;NULL;11.85;100;12;37.8;NULL;1.5;0.87143;0.0302;0.4614;0
500;65.85;NULL;13.88;98.1;10;36.2;NULL;0.5;0.87647;0.002;0.304;0
500;65.85;NULL;12.94;91;11;38.1;0;1;0.88492;0.006;0.348;0
500;50;NULL;42.12;99.4;13;30.4;0.03;2.5;0.88354;0.028;1.17;0
230;NULL;NULL;7.94;88.3;15;33.8;0.01;1.5;0.87753;0.015;0.762;0
230;20;NULL;7.48;72.8;12;37.7;NULL;0.5;0.8761;0.017;0.748;0
230;33.2;NULL;23.44;70;12;37.5;NULL;1.5;0.87607;0.011;0.501;0
500;45.3;NULL;34.09;100.2;11;33.8;NULL;2;0.88616;0.0159;1.2724;0
500;NULL;NULL;35.95;100.1;16;28.4;NULL;2.5;0.88326;0.025;1.035;0
500;165;NULL;24.76;91.8;8;33.1;NULL;2;0.86597;0.023;0.6553;0
69;NULL;NULL;4.32;95.9;22;30.8;NULL;2;0.88206;0.045;1.97;0
69;NULL;NULL;20.07;19.7;64;37.9;NULL;0.5;0.88753;0.3737;4.3992;0
NULL;NULL;NULL;13.43;90.9;9;29.5;NULL;4.5;0.85449;0.0566;1.566;0
230;NULL;NULL;2.48;92.2;11;41.9;NULL;0;0.86855;0.012;0.837;0
500;NULL;NULL;2.24;99.9;7;41.3;NULL;0;0.86658;0.001;0.483;0
242;NULL;NULL;26.11;100;18;25.8;NULL;3;0.86118;0.072;3.802;1
242;NULL;NULL;29.70;81.2;17;37.8;0;1;0.86853;0.014;1.06;0
500;55;NULL;24.70;94.8;12;34;NULL;2.5;0.86488;0.008;0.327;0
317.54;55;NULL;24.70;82.1;12;27;NULL;2;0.86641;0.042;1.3855;0
317.54;55;NULL;24.70;61.1;12;36.9;NULL;0.5;0.86626;0.0096;0.257;0
242;11.07;NULL;21.23;88.6;22;24.9;NULL;3;0.88789;0.37;12.312;0
500;50;NULL;42.12;100;7;45.4;0;0;0.87071;0.0012;0.1436;0
500;50;NULL;43.12;100.1;9;33.3;NULL;3;0.88101;0.0273;0.9119;0
242;11.07;NULL;25.50;81.5;24;26.2;NULL;3;0.88496;0.204;7.046;0
500;65.85;NULL;15.85;100.1;12;36;NULL;1;0.87541;0.0063;0.1648;0
500;150;NULL;25.50;67;19;28.4;NULL;2.5;0.88307;0.027;1.159;1
500;50;NULL;42.12;90.9;9;29.5;NULL;4.5;0.85449;0.0566;1.566;0
145;50;NULL;25.50;93.8;14;36.4;0.01;2;0.87015;0.029;1.439;0
500;NULL;NULL;23.86;100.2;9;40.6;NULL;0;0.87495;0.0031;0.1335;0
500;33.5;NULL;38.37;90.7;18;30.8;NULL;2.5;0.87884;0.0584;1.9282;0
500;NULL;NULL;42.12;99.3;20;30;NULL;3.5;0.88279;0.114;3.5772;0
230;63;NULL;11.43;90.8;9;40.3;0;1;0.88703;0.004;0.222;0
500;NULL;NULL;38.70;92.5;15;31.5;0.02;2;0.88082;0.016;0.677;0
500;55;NULL;24.70;93.3;13;32.8;NULL;2.5;0.8645;0.043;1.477;0
500;NULL;NULL;43.71;96.2;19;34.1;0.02;2;0.88301;0.022;1.081;1
230;22.14;NULL;15.38;89.4;11;38.5;NULL;0.5;0.87555;0.006;0.36;0
25.8;25;NULL;22.32;73.7;13;33.8;0;1;0.86533;0.017;0.477;0
500;55;NULL;24.70;95.2;11;36;NULL;2.5;0.86432;0.008;0.329;0
500;65.85;NULL;15.36;91.9;8;39.3;NULL;1;0.8755;0.0077;0.6077;0
317.54;55;NULL;24.70;92.1;8;33.6;NULL;1;0.86601;0.0357;0.8387;0
500;NULL;NULL;23.86;98.9;9;38.5;NULL;0.5;0.87537;0.0074;0.2192;0
230;20;NULL;11.96;73.6;17;34.5;0.02;1.5;0.8816;0.025;1.41;0
500;65.85;NULL;13.88;100;10;32.7;NULL;0.5;0.87652;0.003;0.253;0
500;165;NULL;24.76;97.5;14;25.3;NULL;2.5;0.86651;0.073;2.643;0
500;50;NULL;42.12;94.9;15;31.5;NULL;3.5;0.88205;0.091;2.592;0
230;230;NULL;16.97;100.2;8;43.8;NULL;0.5;0.87912;0.004;0.237;0
500;NULL;NULL;36.43;80.2;18;34;0.01;3.5;0.85656;0.013;0.423;0
500;NULL;NULL;22.85;99.9;19;41.8;0.01;NULL;0.87529;0.022;0.55;0
500;45.3;NULL;34.09;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
500;165;NULL;24.76;98.2;7;33.4;NULL;2;0.8666;0.0217;0.7312;0
242;NULL;NULL;23.55;85.3;17;38.6;0;1;0.88015;0.028;2.864;0
500;65.85;NULL;17.77;100.1;10;38.5;NULL;1;0.88129;0.0086;0.4368;0
145;50;NULL;25.50;100.2;11;29.9;0.02;2;0.87083;0.046;2.13;0
242;NULL;NULL;40.08;93.7;12;25.8;NULL;3;0.87703;0.115;4.702;1
230;22.14;NULL;25.44;83.1;16;35.1;NULL;1.5;0.86545;0.01;0.451;0
500;NULL;NULL;25.11;93.1;11;34.6;NULL;2;0.88671;0.018;0.711;0
500;150;NULL;25.50;89.9;17;33.5;0.04;2.5;0.88238;0.063;3.42;0
500;NULL;NULL;35.95;75.7;16;33.4;NULL;2.5;0.88065;0.027;1.427;0
500;150;NULL;25.50;90.5;19;37.3;0;2;0.88196;0.03;1.408;0
317.54;55;NULL;24.70;66.8;9;33.9;NULL;0.5;0.86672;0.0361;0.5142;0
500;NULL;NULL;14.77;98.6;6;43.4;0;0.5;0.87482;0.003;0.4;0
500;55;NULL;24.70;98.8;12;36.1;NULL;2.5;0.86499;0.01;0.447;0
500;65.85;NULL;12.94;90.9;12;38;0;0.5;0.88541;0.006;0.465;0
500;55;NULL;24.70;97.7;10;35.8;NULL;1.5;0.86598;0.028;0.596;0
500;45.3;NULL;34.09;98.7;14;30;NULL;2.5;0.87398;0.0343;1.2483;0
500;65.85;NULL;12.94;89.6;11;36.7;0.01;1;0.88614;0.004;0.208;0
500;55;NULL;24.70;87.7;10;29.1;NULL;1;0.86569;0.0368;1.242;0
242;NULL;NULL;29.28;75.8;16;28.8;NULL;1.5;0.84935;0.015;0.792;0
500;NULL;NULL;25.11;68.1;26;25.5;NULL;4;0.87381;0.418;10.107;0
500;65.85;NULL;13.43;91;13;34.2;NULL;1;0.87563;0.0086;0.5749;0
69;NULL;NULL;4.32;91.5;20;34.4;0.01;2;0.87934;0.031;1.16;0
